type,role,sendMsgFile,Send,Recv,HandshakeCPUTime,CommCPUTime
continuity,server,resources/plain.1KB.txt,1024,1024,290406442,92442823
continuity,client,resources/plain.1KB.txt,1024,1024,290087041,101465292
continuity,server,resources/plain.1KB.txt,1024,1024,272916295,88725599
continuity,client,resources/plain.1KB.txt,1024,1024,272734924,98877239
continuity,server,resources/plain.1KB.txt,1024,1024,202857494,85974267
continuity,client,resources/plain.1KB.txt,1024,1024,202623293,97038618
continuity,server,resources/plain.1KB.txt,1024,1024,243648515,86748318
continuity,client,resources/plain.1KB.txt,1024,1024,243276664,95596226
continuity,server,resources/plain.1KB.txt,1024,1024,261928323,84023065
continuity,client,resources/plain.1KB.txt,1024,1024,261750564,94978135
continuity,server,resources/plain.1KB.txt,1024,1024,295554048,85293475
continuity,client,resources/plain.1KB.txt,1024,1024,295260917,93245653
continuity,server,resources/plain.1KB.txt,1024,1024,226593858,83308244
continuity,client,resources/plain.1KB.txt,1024,1024,226350687,94785035
continuity,server,resources/plain.1KB.txt,1024,1024,208025820,96550747
continuity,client,resources/plain.1KB.txt,1024,1024,207770769,107318348
continuity,server,resources/plain.1KB.txt,1024,1024,325389907,95788077
continuity,client,resources/plain.1KB.txt,1024,1024,324883267,107563138
continuity,server,resources/plain.1KB.txt,1024,1024,216963289,88839199
continuity,client,resources/plain.1KB.txt,1024,1024,216632869,96951717
continuity,server,resources/plain.1KB.txt,1024,1024,270610232,91213192
continuity,client,resources/plain.1KB.txt,1024,1024,270296622,99271790
continuity,server,resources/plain.1KB.txt,1024,1024,189896701,81019502
continuity,client,resources/plain.1KB.txt,1024,1024,189694261,92031993
continuity,server,resources/plain.1KB.txt,1024,1024,292850345,88917449
continuity,client,resources/plain.1KB.txt,1024,1024,292559525,97942348
continuity,server,resources/plain.1KB.txt,1024,1024,262048104,89983551
continuity,client,resources/plain.1KB.txt,1024,1024,261834673,102531093
continuity,server,resources/plain.1KB.txt,1024,1024,238208930,85642826
continuity,client,resources/plain.1KB.txt,1024,1024,237970860,94095544
continuity,server,resources/plain.1KB.txt,1024,1024,209377481,79519170
continuity,client,resources/plain.1KB.txt,1024,1024,209119941,87524478
continuity,server,resources/plain.1KB.txt,1024,1024,329203911,91621313
continuity,client,resources/plain.1KB.txt,1024,1024,328820890,99660961
continuity,server,resources/plain.1KB.txt,1024,1024,289001791,88777649
continuity,client,resources/plain.1KB.txt,1024,1024,288674341,96523497
continuity,server,resources/plain.1KB.txt,1024,1024,216208527,86258867
continuity,client,resources/plain.1KB.txt,1024,1024,215930657,97118858
continuity,server,resources/plain.1KB.txt,1024,1024,267682299,87581118
continuity,client,resources/plain.1KB.txt,1024,1024,267456579,100306601
continuity,server,resources/plain.1KB.txt,1024,1024,341195314,90232971
continuity,client,resources/plain.1KB.txt,1024,1024,340901523,100238261
continuity,server,resources/plain.1KB.txt,1024,1024,263332165,87003237
continuity,client,resources/plain.1KB.txt,1024,1024,263060865,95642836
continuity,server,resources/plain.1KB.txt,1024,1024,247306879,89281730
continuity,client,resources/plain.1KB.txt,1024,1024,247015679,99157740
continuity,server,resources/plain.1KB.txt,1024,1024,356707099,85212395
continuity,client,resources/plain.1KB.txt,1024,1024,356172319,93603734
continuity,server,resources/plain.1KB.txt,1024,1024,275594398,85905366
continuity,client,resources/plain.1KB.txt,1024,1024,275307617,94042115
continuity,server,resources/plain.1KB.txt,1024,1024,251612864,86314526
continuity,client,resources/plain.1KB.txt,1024,1024,251365063,96269097
continuity,server,resources/plain.1KB.txt,1024,1024,290768343,88413459
