type,role,sendMsgFile,handshake1_len,handshake2_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124611045,6873927
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128515259,14063095
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131837883,10727761
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138852520,17212637
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123628505,8727868
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128851690,14710494
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,141703542,8831499
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,146395557,22438392
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143878324,9865600
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,149367730,20070720
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121365772,6447907
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124925285,14405945
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127405978,7543668
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132536713,13502534
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120802082,7077747
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124150395,18865709
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120587682,7039587
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124697215,14057705
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,112312513,6376426
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,115636836,13506854
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,150748732,14915335
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,161559183,15091375
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120532092,7865158
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125233096,14161995
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114949185,6455517
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118303789,13662084
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114740986,6525707
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118390539,13585524
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,116506697,6537597
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120199651,14007484
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,144426406,8879779
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,149027061,23272813
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120730232,7591307
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125114875,14146734
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120044740,6443207
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123383984,13446333
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117401268,6971827
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120966382,20789021
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138150119,10875851
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,145178806,15341436
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120344181,8169778
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125524206,14059674
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114910006,6695247
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118727209,13966164
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131786253,7786248
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,134923356,24060464
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123222824,7374027
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127376228,14447024
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114239935,6602017
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117950019,13457664
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129055730,6670677
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131886062,22323042
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,116577408,6481226
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120213741,13630684
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135061326,11485651
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143372664,14017274
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,132417223,8404779
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,137416648,19564180
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117815939,6042146
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121330911,16395247
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130614361,6833477
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133680664,22587993
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124334025,6904547
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127587938,22394493
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120338620,6498577
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123455004,17259267
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119111749,6601587
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122801723,13681064
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124560215,11319692
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131996333,15163425
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123514054,6768246
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127362678,13756464
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129963810,6866417
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133860244,14088335
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120937282,8278998
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126207767,13849354
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129506231,10692260
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136700278,14373784
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,115680776,6596477
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119365620,14330375
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127806818,8933119
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131942593,28523889
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,140042492,6847886
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143952605,13666684
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128554890,8599158
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133584094,16900477
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121131722,6933637
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125129586,13788364
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120697101,7126538
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124476415,14204274
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130652181,6788877
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133709734,19920610
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126164247,7448597
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129798160,17514298
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125007005,6922027
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128955929,14112015
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,137615968,11491812
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,145807246,15445846
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136990017,14382985
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,147399438,15909945
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,114787766,8193188
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120108841,13819534
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127890729,6251446
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131787113,14032434
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123605415,8196008
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,128618390,13749224
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,144252695,7685968
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,147030548,29734310
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117218078,6425886
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120780072,13619813
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,118946470,6031816
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122547874,12935353
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127144848,6973257
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130490141,18638779
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122261543,6818757
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125940707,13689334
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121682922,7461178
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125938057,13688654
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,143601795,10718940
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,150690082,17829668
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124611435,6729307
