type,role,sendMsgFile,handshake1_len,handshake2_len,handshake3_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
ukey2,server,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,104612585,16946917
ukey2,client,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,102411633,34403444
ukey2,server,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,126479277,20981701
ukey2,client,resources/plain.1KB.txt,136,116,78,1110,1024,1110,1024,123381474,36161817
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,156624438,16205106
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,153635994,30796751
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,111553452,31996542
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,120572771,35685206
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,109569870,22220473
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,110648731,36128327
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,120012041,21852271
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,121629423,32224352
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,121434732,18481549
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,106232577,47534578
ukey2,server,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,116615278,21574701
ukey2,client,resources/plain.1KB.txt,136,117,78,1110,1024,1110,1024,119425890,32885953
ukey2,server,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,107155898,23942934
ukey2,client,resources/plain.1KB.txt,136,116,80,1110,1024,1110,1024,109604410,36284327
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,113064464,15515295
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,97782828,46960657
